Warning: Null value is eliminated by an aggregate or other SET operation.
Warning: Null value is eliminated by an aggregate or other SET operation.
Warning: Null value is eliminated by an aggregate or other SET operation.
Warning: Null value is eliminated by an aggregate or other SET operation.
StyleNo,PONo,Country,OrderQty,SchExFactory,Fowarder,InvNo,CTNQty,InCTNQty,PerClose,Final,POLocation,Comment2,Factory,CTNSize,CBM,CreatedBy,WeightCTN
-------,----,-------,--------,------------,--------,-----,------,--------,--------,-----,----------,--------,-------,-------,---,---------,---------
S2602M332,902241571,NETHERLANDS,51.0,2026-05-29,MAERSK,V264938,4.0,4.0,100.0,L.Finl,F.I.N,New,F2,400280200,800280200,,0.15680000000000005,AutoPacking_F2,12.314/4
S2602M909P,902241575,GERMANY,110.0,2026-05-29,K&N,V265190,6.0,NULL,NULL,NULL,NULL,New,NULL,NULL,0.23520000000000008,NULL,NULL
F2606LHMU101Y,902241593,AUSTRALIA,540.0,2026-05-29,DSV AIR & SEA (OCEAN),V264842,11.0,6.0,54.549999999999997,M,B.1.4,New,F2,800280200,800280250,800280300,,0.66080000000000017,AutoPacking_F2,40.566/6
S2602W998P,902241599,PANAMA,20.0,2026-05-23,DSV AIR & SEA ,V264733,4.0,4.0,100.0,P,F.I.N,New,F2,400280200,,8.9600000000000027E-2,AutoPacking_F2,4.647/4
S2602M909P,902241645,ITALY,95.0,2026-05-29,DGF,V265182,3.0,NULL,NULL,NULL,NULL,New,NULL,NULL,0.28000000000000003,NULL,NULL
S2606GHTT421M1,902241708,UNITED ARAB EMIRATES,200.0,2026-05-29,DSV AIR & SEA (OCEAN),V264791,5.0,5.0,100.0,F-Ok,F.I.N,F.1.2,New,F3,800280200,800280250,800280300,,0.43680000000000008,HAO,36.72/5
S2602W332,902241716,KOREA,317.0,2026-05-29,DSV AIR & SEA (OCEAN),V264803,8.0,8.0,100.0,M,B.1.1,New,F2,400280200,800280200,800280400,,0.44800000000000018,TU,46.3/8
F2602M206,902241838,NETHERLANDS,14.0,2026-05-29,MAERSK,V264878,1.0,1.0,100.0,F-Ok,F.I.N,New,F3,800280250,,0.22400000000000003,VUONG,5.975/1
S2602W998P,902241847,CHILE,6.0,2026-05-23,K&N,V264715,1.0,1.0,100.0,P,I.1.1,New,F2,400280200,,2.2400000000000007E-2,AutoPacking_F2,1.228/1
F2606GHMES007Y,902241857,NEW ZEALAND,340.0,2026-05-29,DSV AIR & SEA (OCEAN),V264847,7.0,NULL,NULL,NULL,NULL,New,NULL,NULL,0.39200000000000002,NULL,NULL
S2602M911P,902241874,CHILE,4.0,2026-05-29,DGF,V264409,1.0,NULL,NULL,NULL,NULL,New,NULL,NULL,2.2400000000000007E-2,NULL,NULL
F2602M206,902241900,NETHERLANDS,14.0,2026-05-29,MAERSK,V264879,1.0,NULL,NULL,NULL,NULL,New,NULL,NULL,0.22400000000000003,NULL,NULL
